m1612-C-2200,756.5
m1612-C-2250,712.5
m1612-C-2300,669.5
m1612-C-2350,627.5
m1612-C-2400,587
m1612-C-2450,548
m1612-C-2500,510
m1612-C-2550,474
m1612-C-2600,439.5
m1612-C-2650,406
m1612-C-2700,375
m1612-C-2750,345
m1612-C-2800,317
m1612-C-2850,290.5
m1612-C-2900,265.5
m1612-C-2950,242.5
m1612-C-3000,221
m1612-C-3050,201
m1612-C-3100,182
m1612-C-3150,165
m1612-C-3200,149
m1612-C-3250,134.5
m1612-C-3300,121
m1612-C-3350,109
m1612-C-3400,97.5
m1612-C-3450,87.5
m1612-C-3500,78.5
m1612-C-3550,70
m1612-C-3600,62.5
m1612-C-3650,55.5
m1612-C-3700,49.5
m1612-P-2200,21.5
m1612-P-2250,27.5
m1612-P-2300,34.5
m1612-P-2350,42.5
m1612-P-2400,52
m1612-P-2450,62.5
m1612-P-2500,75
m1612-P-2550,88.5
m1612-P-2600,104
m1612-P-2650,120.5
m1612-P-2700,139
m1612-P-2750,159.5
m1612-P-2800,181
m1612-P-2850,204.5
m1612-P-2900,230
m1612-P-2950,256.5
m1612-P-3000,285
m1612-P-3050,314.5
m1612-P-3100,346
m1612-P-3150,378.5
m1612-P-3200,413
m1612-P-3250,448
m1612-P-3300,484.5
m1612-P-3350,522.5
m1612-P-3400,561
m1612-P-3450,601
m1612-P-3500,641.5
m1612-P-3550,683.5
m1612-P-3600,725.5
m1612-P-3650,769
m1612-P-3700,812.5
m1703-C-2250,734.5
m1703-C-2300,702
m1703-C-2350,670.5
m1703-C-2400,640
m1703-C-2450,611
m1703-C-2500,582.5
m1703-C-2550,555.5
m1703-C-2600,529
m1703-C-2650,504
m1703-C-2700,480
m1703-C-2750,456.5
m1703-C-2800,434.5
m1703-C-2850,413
m1703-C-2900,392.5
m1703-C-2950,373
m1703-C-3000,354.5
m1703-C-3050,336.5
m1703-C-3100,319.5
m1703-C-3150,303.5
m1703-C-3200,288
m1703-C-3250,273
m1703-C-3300,259
m1703-C-3350,245.5
m1703-C-3400,232.5
m1703-C-3450,220.5
m1703-C-3500,209
m1703-C-3550,198
m1703-P-2250,154.5
m1703-P-2300,171.5
m1703-P-2350,190
m1703-P-2400,209.5
m1703-P-2450,229.5
m1703-P-2500,251
m1703-P-2550,273.5
m1703-P-2600,297.5
m1703-P-2650,322
m1703-P-2700,347.5
m1703-P-2750,374
m1703-P-2800,401.5
m1703-P-2850,430
m1703-P-2900,459.5
m1703-P-2950,489.5
m1703-P-3000,520.5
m1703-P-3050,552.5
m1703-P-3100,585.5
m1703-P-3150,619
m1703-P-3200,653
m1703-P-3250,688
m1703-P-3300,724
m1703-P-3350,760
m1703-P-3400,797
m1703-P-3450,835
m1703-P-3500,873
m1703-P-3550,912
m1707-C-2500,288
m1707-C-2550,258
m1707-C-2600,230
m1707-C-2650,204.5
m1707-C-2700,181
m1707-C-2750,159.5
m1707-C-2800,140
m1707-C-2850,122.5
m1707-C-2900,106.5
m1707-C-2950,92.5
m1707-C-3000,80
m1707-C-3050,69
m1707-P-2500,102.5
m1707-P-2550,122
m1707-P-2600,144
m1707-P-2650,168
m1707-P-2700,194
m1707-P-2750,222
m1707-P-2800,252
m1707-P-2850,284
m1707-P-2900,318
m1707-P-2950,353.5
m1707-P-3000,390.5
m1707-P-3050,429
m1708-C-2500,334
m1708-C-2550,297
m1708-C-2600,262.5
m1708-C-2650,230.5
m1708-C-2700,201
m1708-C-2750,174
m1708-C-2800,149.5
m1708-C-2850,128
m1708-C-2900,108.5
m1708-C-2950,91.5
m1708-C-3000,76.5
m1708-C-3050,64
m1708-C-3100,52.5
m1708-P-2500,43.5
m1708-P-2550,56
m1708-P-2600,71
m1708-P-2650,88.5
m1708-P-2700,109
m1708-P-2750,131.5
m1708-P-2800,156.5
m1708-P-2850,184.5
m1708-P-2900,214.5
m1708-P-2950,247
m1708-P-3000,282
m1708-P-3050,318.5
m1708-P-3100,357
m1709-C-2550,309
m1709-C-2600,281.5
m1709-C-2650,255
m1709-C-2700,231
m1709-C-2750,208.5
m1709-C-2800,187.5
m1709-C-2850,168.5
m1709-C-2900,150.5
m1709-C-2950,134.5
m1709-P-2550,141
m1709-P-2600,162.5
m1709-P-2650,186
m1709-P-2700,211
m1709-P-2750,238
m1709-P-2800,266.5
m1709-P-2850,297
m1709-P-2900,329
m1709-P-2950,362.5